Area,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Estado_extraccion,Filas_extraidas,Seleccionados_extraidos,Duracion_segundos,Error,Concurso,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados
2,220,22000015,ENFERMERIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22000015.html,Completado,100,20,0.36,,Licenciatura 2026,8,100,83,87,20
2,203,20300095,ENFERMERIA Y OBSTETRICIA,FACULTAD DE ENFERMERIA Y OBSTETRICIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20300095.html,Completado,2021,71,0.61,,Licenciatura 2026,70,2021,1644,108,74
2,219,21901005,FARMACIA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21901005.html,Completado,260,89,0.34,,Licenciatura 2026,85,260,222,79,89
2,221,22106005,FISIOTERAPIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22106005.html,Completado,465,68,0.27,,Licenciatura 2026,63,465,370,89,68
2,204,20401005,INGENIERIA AGRICOLA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20401005.html,Completado,315,83,0.25,,Licenciatura 2026,69,315,243,68,84
2,205,20501005,INGENIERIA EN ALIMENTOS,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20501005.html,Completado,459,215,0.32,,Licenciatura 2026,121,459,391,61,215
2,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21708005.html,Completado,41,28,0.2,,Licenciatura 2026,40,41,34,45,29
2,207,20700165,MEDICINA VETERINARIA Y ZOOTECNIA,FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20700165.html,Completado,4210,122,1.3,,Licenciatura 2026,85,4210,3473,113,126
2,207,20701005,MEDICINA VETERINARIA Y ZOOTECNIA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20701005.html,Completado,2479,135,1.04,,Licenciatura 2026,115,2479,2142,107,136
2,208,20800125,MEDICO CIRUJANO,FACULTAD DE MEDICINA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20800125.html,Completado,16411,271,4.25,,Licenciatura 2026,176,16411,13668,117,279
